2.000000 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [S], seq 0, win 65535, options [TS val 2000 ecr 0,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [S.], seq 0, ack 1, win 65535, options [TS val 2050 ecr 2000,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], ack 1, win 32768, options [TS val 2100 ecr 2050,eol], length 0
63.249209 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 513785, win 32768, options [TS val 63199 ecr 63043,sack 2 {516465:517001}{514321:515929}], length 0
63.348351 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 515929, win 32768, options [TS val 63298 ecr 63247,sack 1 {516465:517001}], length 0
63.348351 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 517001:517537, ack 1, win 32768, options [TS val 63348 ecr 63298,eol], length 536: HTTP
63.449395 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 515929, win 32768, options [TS val 63399 ecr 63247,sack 1 {516465:517537}], length 0
63.449395 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 517537:518073, ack 1, win 32768, options [TS val 63449 ecr 63399,eol], length 536: HTTP
63.550438 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 515929, win 32768, options [TS val 63500 ecr 63247,sack 1 {516465:518073}], length 0
63.550438 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 515929:516465, ack 1, win 32768, options [TS val 63550 ecr 63500,eol], length 536: HTTP
63.651468 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 518073, win 32768, options [TS val 63601 ecr 63550,eol], length 0
63.651468 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 518073:518609, ack 1, win 32768, options [TS val 63651 ecr 63601,eol], length 536: HTTP
63.652412 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 518609:519145, ack 1, win 32768, options [TS val 63651 ecr 63601,eol], length 536: HTTP
63.753455 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 518073, win 32768, options [TS val 63703 ecr 63550,sack 1 {518609:519145}], length 0
63.753455 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 519145:519681, ack 1, win 32768, options [TS val 63753 ecr 63703,eol], length 536: HTTP
63.854499 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 518073, win 32768, options [TS val 63804 ecr 63550,sack 1 {518609:519681}], length 0
63.854499 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 519681:520217, ack 1, win 32768, options [TS val 63854 ecr 63804,eol], length 536: HTTP
63.955542 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 518073, win 32768, options [TS val 63905 ecr 63550,sack 1 {518609:520217}], length 0
63.955542 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 518073:518609, ack 1, win 32768, options [TS val 63955 ecr 63905,eol], length 536: HTTP
64.056572 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 520217, win 32768, options [TS val 64006 ecr 63955,eol], length 0
64.056572 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 520217:520753, ack 1, win 32768, options [TS val 64056 ecr 64006,eol], length 536: HTTP
64.057516 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 520753:521289, ack 1, win 32768, options [TS val 64056 ecr 64006,eol], length 536: HTTP
64.158547 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 521289, win 32768, options [TS val 64108 ecr 64056,eol], length 0
64.158547 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 521289:521825, ack 1, win 32768, options [TS val 64158 ecr 64108,eol], length 536: HTTP
64.159491 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 521825:522361, ack 1, win 32768, options [TS val 64158 ecr 64108,eol], length 536: HTTP
64.260521 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 522361, win 32768, options [TS val 64210 ecr 64158,eol], length 0
64.260521 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 522361:522897, ack 1, win 32768, options [TS val 64260 ecr 64210,eol], length 536: HTTP
64.261465 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 522897:523433, ack 1, win 32768, options [TS val 64260 ecr 64210,eol], length 536: HTTP
64.262409 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 523433:523969, ack 1, win 32768, options [TS val 64260 ecr 64210,eol], length 536: HTTP
64.362495 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 523433, win 32768, options [TS val 64312 ecr 64260,eol], length 0
64.362495 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 523969:524505, ack 1, win 32768, options [TS val 64362 ecr 64312,eol], length 536: HTTP
64.363439 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 524505:525041, ack 1, win 32768, options [TS val 64362 ecr 64312,eol], length 536: HTTP
64.463526 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 524505, win 32768, options [TS val 64413 ecr 64260,eol], length 0
64.463526 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 525041:525577, ack 1, win 32768, options [TS val 64463 ecr 64413,eol], length 536: HTTP
64.464470 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 525577:526113, ack 1, win 32768, options [TS val 64463 ecr 64413,eol], length 536: HTTP
64.564556 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 525577, win 32768, options [TS val 64514 ecr 64362,eol], length 0
64.564556 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 526113:526649, ack 1, win 32768, options [TS val 64564 ecr 64514,eol], length 536: HTTP
64.565500 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 526649:527185, ack 1, win 32768, options [TS val 64564 ecr 64514,eol], length 536: HTTP
64.566444 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 527185:527721, ack 1, win 32768, options [TS val 64564 ecr 64514,eol], length 536: HTTP
64.665587 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 526649, win 32768, options [TS val 64615 ecr 64463,eol], length 0
64.665587 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 527721:528257, ack 1, win 32768, options [TS val 64665 ecr 64615,eol], length 536: HTTP
64.666531 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 528257:528793, ack 1, win 32768, options [TS val 64665 ecr 64615,eol], length 536: HTTP
64.667475 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 527721, win 32768, options [TS val 64617 ecr 64564,eol], length 0
64.667475 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 528793:529329, ack 1, win 32768, options [TS val 64667 ecr 64617,eol], length 536: HTTP
64.668419 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 529329:529865, ack 1, win 32768, options [TS val 64667 ecr 64617,eol], length 536: HTTP
64.767561 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 528793, win 32768, options [TS val 64717 ecr 64665,eol], length 0
64.767561 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 529865:530401, ack 1, win 32768, options [TS val 64767 ecr 64717,eol], length 536: HTTP
64.768505 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 530401:530937, ack 1, win 32768, options [TS val 64767 ecr 64717,eol], length 536: HTTP
64.769449 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 529865, win 32768, options [TS val 64719 ecr 64667,eol], length 0
64.769449 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 530937:531473, ack 1, win 32768, options [TS val 64769 ecr 64719,eol], length 536: HTTP
64.770393 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 531473:532009, ack 1, win 32768, options [TS val 64769 ecr 64719,eol], length 536: HTTP
64.869535 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 530937, win 32768, options [TS val 64819 ecr 64767,eol], length 0
64.869535 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 532009:532545, ack 1, win 32768, options [TS val 64869 ecr 64819,eol], length 536: HTTP
64.870479 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 532545:533081, ack 1, win 32768, options [TS val 64869 ecr 64819,eol], length 536: HTTP
64.871423 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 532009, win 32768, options [TS val 64821 ecr 64769,eol], length 0
64.871423 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 533081:533617, ack 1, win 32768, options [TS val 64869 ecr 64819,eol], length 536: HTTP
64.872367 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 533617:534153, ack 1, win 32768, options [TS val 64871 ecr 64821,eol], length 536: HTTP
64.873311 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 534153:534689, ack 1, win 32768, options [TS val 64871 ecr 64821,eol], length 536: HTTP
64.971510 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 533081, win 32768, options [TS val 64921 ecr 64869,eol], length 0
64.971510 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 534689:535225, ack 1, win 32768, options [TS val 64971 ecr 64921,eol], length 536: HTTP
64.972454 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 535225:535761, ack 1, win 32768, options [TS val 64971 ecr 64921,eol], length 536: HTTP
64.973398 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 534153, win 32768, options [TS val 64923 ecr 64869,eol], length 0
64.973398 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 535761:536297, ack 1, win 32768, options [TS val 64973 ecr 64923,eol], length 536: HTTP
64.974342 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 536297:536833, ack 1, win 32768, options [TS val 64973 ecr 64923,eol], length 536: HTTP
65.072540 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 535225, win 32768, options [TS val 65022 ecr 64871,eol], length 0
65.072540 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 536833:537369, ack 1, win 32768, options [TS val 65072 ecr 65022,eol], length 536: HTTP
65.073484 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 537369:537905, ack 1, win 32768, options [TS val 65072 ecr 65022,eol], length 536: HTTP
65.074428 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 536297, win 32768, options [TS val 65024 ecr 64971,eol], length 0
65.074428 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 537905:538441, ack 1, win 32768, options [TS val 65074 ecr 65024,eol], length 536: HTTP
65.075372 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 538441:538977, ack 1, win 32768, options [TS val 65074 ecr 65024,eol], length 536: HTTP
65.076316 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 538977:539513, ack 1, win 32768, options [TS val 65074 ecr 65024,eol], length 536: HTTP
65.173571 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 537369, win 32768, options [TS val 65123 ecr 64973,eol], length 0
65.173571 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 539513:540049, ack 1, win 32768, options [TS val 65173 ecr 65123,eol], length 536: HTTP
65.174515 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 540049:540585, ack 1, win 32768, options [TS val 65173 ecr 65123,eol], length 536: HTTP
65.175459 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 538441, win 32768, options [TS val 65125 ecr 65072,eol], length 0
65.175459 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 540585:541121, ack 1, win 32768, options [TS val 65175 ecr 65125,eol], length 536: HTTP
65.176403 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 541121:541657, ack 1, win 32768, options [TS val 65175 ecr 65125,eol], length 536: HTTP
65.177347 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 539513, win 32768, options [TS val 65127 ecr 65074,eol], length 0
65.177347 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 541657:542193, ack 1, win 32768, options [TS val 65177 ecr 65127,eol], length 536: HTTP
65.178291 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 542193:542729, ack 1, win 32768, options [TS val 65177 ecr 65127,eol], length 536: HTTP
65.275545 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 540585, win 32768, options [TS val 65225 ecr 65173,eol], length 0
65.275545 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 542729:543265, ack 1, win 32768, options [TS val 65275 ecr 65225,eol], length 536: HTTP
65.276489 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 543265:543801, ack 1, win 32768, options [TS val 65275 ecr 65225,eol], length 536: HTTP
65.277433 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 541657, win 32768, options [TS val 65227 ecr 65175,eol], length 0
65.277433 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 543801:544337, ack 1, win 32768, options [TS val 65277 ecr 65227,eol], length 536: HTTP
65.278377 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 544337:544873, ack 1, win 32768, options [TS val 65277 ecr 65227,eol], length 536: HTTP
65.279321 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65229 ecr 65177,eol], length 0
65.279321 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 544873:545409, ack 1, win 32768, options [TS val 65279 ecr 65229,eol], length 536: HTTP
65.280265 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 545409:545945, ack 1, win 32768, options [TS val 65279 ecr 65229,eol], length 536: HTTP
65.281209 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 545945:546481, ack 1, win 32768, options [TS val 65279 ecr 65229,eol], length 536: HTTP
65.377532 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65327 ecr 65177,sack 1 {543265:543801}], length 0
65.377532 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 546481:547017, ack 1, win 32768, options [TS val 65377 ecr 65327,eol], length 536: HTTP
65.378476 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65328 ecr 65177,sack 1 {543265:544337}], length 0
65.378476 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 547017:547553, ack 1, win 32768, options [TS val 65378 ecr 65328,eol], length 536: HTTP
65.379420 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65329 ecr 65177,sack 1 {543265:544873}], length 0
65.379420 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 542729:543265, ack 1, win 32768, options [TS val 65379 ecr 65329,eol], length 536: HTTP
65.380364 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65330 ecr 65177,sack 1 {543265:545409}], length 0
65.381308 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65331 ecr 65177,sack 1 {543265:545945}], length 0
65.382252 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65332 ecr 65177,sack 1 {543265:546481}], length 0
65.478575 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65428 ecr 65177,sack 1 {543265:547017}], length 0
65.479519 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 542729, win 32768, options [TS val 65429 ecr 65177,sack 1 {543265:547553}], length 0
65.479519 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 547553:548089, ack 1, win 32768, options [TS val 65479 ecr 65429,eol], length 536: HTTP
65.480451 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 547553, win 32768, options [TS val 65430 ecr 65379,eol], length 0
65.480463 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 548089:548625, ack 1, win 32768, options [TS val 65480 ecr 65430,eol], length 536: HTTP
65.581494 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 548625, win 32768, options [TS val 65531 ecr 65479,eol], length 0
65.581494 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 548625:549161, ack 1, win 32768, options [TS val 65581 ecr 65531,eol], length 536: HTTP
65.582438 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 549161:549697, ack 1, win 32768, options [TS val 65581 ecr 65531,eol], length 536: HTTP
65.583382 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 549697:550233, ack 1, win 32768, options [TS val 65581 ecr 65531,eol], length 536: HTTP
65.683468 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 549697, win 32768, options [TS val 65633 ecr 65581,eol], length 0
65.683468 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 550233:550769, ack 1, win 32768, options [TS val 65683 ecr 65633,eol], length 536: HTTP
65.684412 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 550769:551305, ack 1, win 32768, options [TS val 65683 ecr 65633,eol], length 536: HTTP
65.784499 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 550769, win 32768, options [TS val 65734 ecr 65581,eol], length 0
65.784499 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 551305:551841, ack 1, win 32768, options [TS val 65784 ecr 65734,eol], length 536: HTTP
65.785443 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 551841:552377, ack 1, win 32768, options [TS val 65784 ecr 65734,eol], length 536: HTTP
65.885529 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 551841, win 32768, options [TS val 65835 ecr 65683,eol], length 0
65.885529 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 552377:552913, ack 1, win 32768, options [TS val 65885 ecr 65835,eol], length 536: HTTP
65.886473 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 552913:553449, ack 1, win 32768, options [TS val 65885 ecr 65835,eol], length 536: HTTP
65.887417 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 553449:553985, ack 1, win 32768, options [TS val 65885 ecr 65835,eol], length 536: HTTP
65.986559 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 552913, win 32768, options [TS val 65936 ecr 65784,eol], length 0
65.986559 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 553985:554521, ack 1, win 32768, options [TS val 65986 ecr 65936,eol], length 536: HTTP
65.987503 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 554521:555057, ack 1, win 32768, options [TS val 65986 ecr 65936,eol], length 536: HTTP
65.988447 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 553985, win 32768, options [TS val 65938 ecr 65885,eol], length 0
65.988447 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 555057:555593, ack 1, win 32768, options [TS val 65988 ecr 65938,eol], length 536: HTTP
65.989391 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 555593:556129, ack 1, win 32768, options [TS val 65988 ecr 65938,eol], length 536: HTTP
66.089491 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 554521, win 32768, options [TS val 66039 ecr 65986,sack 1 {555057:555593}], length 0
66.089491 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 556129:556665, ack 1, win 32768, options [TS val 66089 ecr 66039,eol], length 536: HTTP
66.090435 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 554521, win 32768, options [TS val 66040 ecr 65986,sack 1 {555057:556129}], length 0
66.090435 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 556665:557201, ack 1, win 32768, options [TS val 66089 ecr 66039,eol], length 536: HTTP
66.091379 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 557201:557737, ack 1, win 32768, options [TS val 66090 ecr 66040,eol], length 536: HTTP
66.190534 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 554521, win 32768, options [TS val 66140 ecr 65986,sack 1 {555057:556665}], length 0
66.190534 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 554521:555057, ack 1, win 32768, options [TS val 66190 ecr 66140,eol], length 536: HTTP
66.191478 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 554521, win 32768, options [TS val 66141 ecr 65986,sack 1 {555057:557201}], length 0
66.192422 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 554521, win 32768, options [TS val 66142 ecr 65986,sack 1 {555057:557737}], length 0
66.192422 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 557737:558273, ack 1, win 32768, options [TS val 66192 ecr 66142,eol], length 536: HTTP
66.291564 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 557737, win 32768, options [TS val 66241 ecr 66190,eol], length 0
66.291564 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 558273:558809, ack 1, win 32768, options [TS val 66291 ecr 66241,eol], length 536: HTTP
66.392595 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 558809, win 32768, options [TS val 66342 ecr 66192,eol], length 0
66.392595 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 558809:559345, ack 1, win 32768, options [TS val 66392 ecr 66342,eol], length 536: HTTP
66.393539 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 559345:559881, ack 1, win 32768, options [TS val 66392 ecr 66342,eol], length 536: HTTP
66.494569 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 559881, win 32768, options [TS val 66444 ecr 66392,eol], length 0
66.494569 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 559881:560417, ack 1, win 32768, options [TS val 66494 ecr 66444,eol], length 536: HTTP
66.495513 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 560417:560953, ack 1, win 32768, options [TS val 66494 ecr 66444,eol], length 536: HTTP
66.496457 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 560953:561489, ack 1, win 32768, options [TS val 66494 ecr 66444,eol], length 536: HTTP
66.596543 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 560953, win 32768, options [TS val 66546 ecr 66494,eol], length 0
66.596543 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 561489:562025, ack 1, win 32768, options [TS val 66596 ecr 66546,eol], length 536: HTTP
66.597487 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 562025:562561, ack 1, win 32768, options [TS val 66596 ecr 66546,eol], length 536: HTTP
66.697574 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 562025, win 32768, options [TS val 66647 ecr 66494,eol], length 0
66.697574 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 562561:563097, ack 1, win 32768, options [TS val 66697 ecr 66647,eol], length 536: HTTP
66.698518 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 563097:563633, ack 1, win 32768, options [TS val 66697 ecr 66647,eol], length 536: HTTP
66.799561 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 562561, win 32768, options [TS val 66749 ecr 66596,sack 1 {563097:563633}], length 0
66.799561 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 563633:564169, ack 1, win 32768, options [TS val 66799 ecr 66749,eol], length 536: HTTP
66.800505 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 564169:564705, ack 1, win 32768, options [TS val 66799 ecr 66749,eol], length 536: HTTP
66.900604 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 562561, win 32768, options [TS val 66850 ecr 66596,sack 1 {563097:564169}], length 0
66.900604 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 564705:565241, ack 1, win 32768, options [TS val 66900 ecr 66850,eol], length 536: HTTP
66.901548 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 562561, win 32768, options [TS val 66851 ecr 66596,sack 1 {563097:564705}], length 0
66.901548 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 562561:563097, ack 1, win 32768, options [TS val 66901 ecr 66851,eol], length 536: HTTP
67.001647 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 562561, win 32768, options [TS val 66951 ecr 66596,sack 1 {563097:565241}], length 0
67.001647 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 565241:565777, ack 1, win 32768, options [TS val 67001 ecr 66951,eol], length 536: HTTP
67.002579 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 565241, win 32768, options [TS val 66952 ecr 66901,eol], length 0
67.002591 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 565777:566313, ack 1, win 32768, options [TS val 67002 ecr 66952,eol], length 536: HTTP
67.103622 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 566313, win 32768, options [TS val 67053 ecr 67001,eol], length 0
67.103622 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 566313:566849, ack 1, win 32768, options [TS val 67103 ecr 67053,eol], length 536: HTTP
67.104566 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 566849:567385, ack 1, win 32768, options [TS val 67103 ecr 67053,eol], length 536: HTTP
67.205596 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 567385, win 32768, options [TS val 67155 ecr 67103,eol], length 0
67.205596 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 567385:567921, ack 1, win 32768, options [TS val 67205 ecr 67155,eol], length 536: HTTP
67.206540 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 567921:568457, ack 1, win 32768, options [TS val 67205 ecr 67155,eol], length 536: HTTP
67.207484 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 568457:568993, ack 1, win 32768, options [TS val 67205 ecr 67155,eol], length 536: HTTP
67.307571 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 568457, win 32768, options [TS val 67257 ecr 67205,eol], length 0
67.307571 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 568993:569529, ack 1, win 32768, options [TS val 67307 ecr 67257,eol], length 536: HTTP
67.308515 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 569529:570065, ack 1, win 32768, options [TS val 67307 ecr 67257,eol], length 536: HTTP
67.408601 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 569529, win 32768, options [TS val 67358 ecr 67205,eol], length 0
